date|time|description|vendor|amount
2025-04-28|09:15:32|Monthly salary|Employer|3500.00
2025-04-25|14:22:10|Grocery shopping|Whole Foods|-127.43
2025-04-23|11:05:00|Invoice 2041 paid|Smith LLC|800.00
2025-04-20|08:30:45|Electric bill|Seattle City Light|-94.17
2025-04-18|16:45:00|Freelance payment|Acme Corp|1200.00
2025-04-15|10:13:25|Ergonomic keyboard|Amazon|-89.50
2025-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2025-04-12|13:00:00|Gas station|Shell|-52.30
2025-04-10|09:45:00|Software subscription|Adobe|-54.99
2025-04-07|17:30:22|Dinner with client|Olive Garden|-63.75
2025-04-05|10:00:00|Consulting fee|Bright Ideas Co|950.00
2025-04-03|08:15:00|Internet bill|Comcast|-79.99
2025-04-01|09:00:00|Rent payment|Greenwood Apartments|-1400.00
2025-03-28|11:30:00|Monthly salary|Employer|3500.00
2025-03-25|14:00:00|Office supplies|Staples|-45.20
2025-03-22|10:30:00|Invoice 2038 paid|Smith LLC|800.00
2025-03-20|09:15:00|Grocery shopping|Whole Foods|-98.64
2025-03-18|16:00:00|Phone bill|T-Mobile|-65.00
2025-03-15|12:00:00|Freelance payment|Acme Corp|600.00
2025-03-10|08:45:00|Gas station|Shell|-48.90
2025-03-05|10:00:00|Streaming service|Netflix|-15.99
2025-03-01|09:00:00|Rent payment|Greenwood Apartments|-1400.00
2025-02-28|11:00:00|Monthly salary|Employer|3500.00
2025-02-20|14:30:00|Grocery shopping|Whole Foods|-112.55
2025-02-15|10:00:00|Invoice 2031 paid|Joe|750.00
2025-02-10|09:00:00|Electric bill|Seattle City Light|-88.40
2025-02-05|13:15:00|Office chair|Amazon|-245.00
2025-02-01|09:00:00|Rent payment|Greenwood Apartments|-1400.00
